Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2018-03-23,Edge of Tomorrow,2014,https://letterboxd.com/forrestdiamond/film/edge-of-tomorrow/,5,,"science-fiction, action, tom-cruise",2015-01-11
2018-03-23,The Prestige,2006,https://letterboxd.com/forrestdiamond/film/the-prestige/,5,,,2015-01-11
2018-03-23,Gamer,2009,https://letterboxd.com/forrestdiamond/film/gamer/,2,,action,2015-01-11
2018-03-23,Jin-Roh: The Wolf Brigade,1999,https://letterboxd.com/forrestdiamond/film/jin-roh-the-wolf-brigade/,3,,"anime, foreign, animation",2015-04-29
2018-03-23,Creed,2015,https://letterboxd.com/forrestdiamond/film/creed/1/,5,,"oscar-nom, sports",2015-12-29
2018-03-23,The Revenant,2015,https://letterboxd.com/forrestdiamond/film/the-revenant-2015/,4,,oscar-nom,2015-12-29
2018-03-23,Bridge of Spies,2015,https://letterboxd.com/forrestdiamond/film/bridge-of-spies/,3,,"tom-hanks, steven-spielberg",2015-12-29
2018-03-23,The Hateful Eight,2015,https://letterboxd.com/forrestdiamond/film/the-hateful-eight/,5,,"quintin-tarantino, western",2015-12-30
2018-03-23,Room,2015,https://letterboxd.com/forrestdiamond/film/room-2015/,5,,oscar-nom,2016-01-26
2018-03-23,Safety Not Guaranteed,2012,https://letterboxd.com/forrestdiamond/film/safety-not-guaranteed/,5,,"romance, colin-treverrow",2016-02-02
2018-03-23,All the President's Men,1976,https://letterboxd.com/forrestdiamond/film/all-the-presidents-men/1/,5,,documentary-ish,2016-02-10
2018-03-23,Beasts of No Nation,2015,https://letterboxd.com/forrestdiamond/film/beasts-of-no-nation/,5,,cary-fukunaga,2016-02-11
2018-03-23,The Warriors,1979,https://letterboxd.com/forrestdiamond/film/the-warriors/,4,,"cult, action",2016-02-12
2018-03-23,Manhunter,1986,https://letterboxd.com/forrestdiamond/film/manhunter/,4,,,2016-02-12
2018-03-23,"The Good, the Bad and the Ugly",1966,https://letterboxd.com/forrestdiamond/film/the-good-the-bad-and-the-ugly/,4,,western,2016-02-12
2018-03-23,Mission: Impossible - Ghost Protocol,2011,https://letterboxd.com/forrestdiamond/film/mission-impossible-ghost-protocol/,4,,action,2016-02-15
2018-03-23,Sin Nombre,2009,https://letterboxd.com/forrestdiamond/film/sin-nombre/,4,,,2016-02-16
2018-03-23,Attack the Block,2011,https://letterboxd.com/forrestdiamond/film/attack-the-block/,5,,,2016-02-17
2018-03-23,John Wick,2014,https://letterboxd.com/forrestdiamond/film/john-wick/1/,4,,action,2016-02-18
2018-03-23,Léon: The Professional,1994,https://letterboxd.com/forrestdiamond/film/leon-the-professional/,5,,,2016-02-20
2018-03-23,The Big Short,2015,https://letterboxd.com/forrestdiamond/film/the-big-short/,5,,"oscar-nom, documentary-ish",2016-02-21
2018-03-23,Dope,2015,https://letterboxd.com/forrestdiamond/film/dope-2015/,5,,coming-of-age,2016-02-21
2018-03-23,Spotlight,2015,https://letterboxd.com/forrestdiamond/film/spotlight/,5,,"documentary-ish, oscar-nom",2016-02-22
2018-03-23,Hitman: Agent 47,2015,https://letterboxd.com/forrestdiamond/film/hitman-agent-47/,2,,"action, videogame",2016-02-23
2018-03-23,Hot Rod,2007,https://letterboxd.com/forrestdiamond/film/hot-rod/,4,,comedy,2016-02-29
2018-03-23,Trumbo,2015,https://letterboxd.com/forrestdiamond/film/trumbo/,3,,"biopic, documentary-ish",2016-03-02
2018-03-23,Minority Report,2002,https://letterboxd.com/forrestdiamond/film/minority-report/,3,,science-fiction,2016-03-20
2018-03-23,Man of Steel,2013,https://letterboxd.com/forrestdiamond/film/man-of-steel/,2,,"superhero, dccu",2016-03-23
2018-03-23,Deadpool,2016,https://letterboxd.com/forrestdiamond/film/deadpool/,4,,superhero,2016-03-25
2018-03-23,The Baader Meinhof Complex,2008,https://letterboxd.com/forrestdiamond/film/the-baader-meinhof-complex/,4,,documentary-ish,2016-03-29
2018-03-23,Cobra,1986,https://letterboxd.com/forrestdiamond/film/cobra-1986/1/,4,,"action, 80s",2016-03-30
2018-03-23,Star Wars: The Force Awakens,2015,https://letterboxd.com/forrestdiamond/film/star-wars-the-force-awakens/1/,4,,star-wars,2016-04-05
2018-03-23,Spy,2015,https://letterboxd.com/forrestdiamond/film/spy/1/,4,,comedy,2016-04-08
2018-03-23,Magic Mike,2012,https://letterboxd.com/forrestdiamond/film/magic-mike/1/,5,,,2016-04-08
2018-03-23,Ip Man,2008,https://letterboxd.com/forrestdiamond/film/ip-man/,5,,"kung-fu, foreign",2016-04-28
2018-03-23,Everybody Wants Some!!,2016,https://letterboxd.com/forrestdiamond/film/everybody-wants-some/,5,,"sports, coming-of-age",2016-05-01
2018-03-23,Hard Boiled,1992,https://letterboxd.com/forrestdiamond/film/hard-boiled/,2,,"foreign, action",2016-05-02
2018-03-23,Batman v Superman: Dawn of Justice,2016,https://letterboxd.com/forrestdiamond/film/batman-v-superman-dawn-of-justice/,2,,"dcu, superhero",2016-05-06
2018-03-23,10 Cloverfield Lane,2016,https://letterboxd.com/forrestdiamond/film/10-cloverfield-lane/,3,,"thriller, cloverfield",2016-05-16
2018-03-23,Iron Man 3,2013,https://letterboxd.com/forrestdiamond/film/iron-man-3/,4,,"superhero, mcu",2016-05-19
2018-03-23,Creed,2015,https://letterboxd.com/forrestdiamond/film/creed/,4,,sports,2016-05-22
2018-03-23,Silent Hill,2006,https://letterboxd.com/forrestdiamond/film/silent-hill/,2,,horror,2016-06-28
2018-03-23,Macbeth,2015,https://letterboxd.com/forrestdiamond/film/macbeth-2015/,3,,,2016-06-28
2018-03-23,Hellraiser,1987,https://letterboxd.com/forrestdiamond/film/hellraiser/,4,,"horror, gore",2016-06-29
2018-03-23,A Fistful of Dollars,1964,https://letterboxd.com/forrestdiamond/film/a-fistful-of-dollars/,4,,western,2016-07-24
2018-03-23,The Nice Guys,2016,https://letterboxd.com/forrestdiamond/film/the-nice-guys/,4,,"buddy-cop, comedy",2016-08-03
2018-03-23,X-Men: Apocalypse,2016,https://letterboxd.com/forrestdiamond/film/x-men-apocalypse/1/,1,,"x-men, superhero",2016-08-04
2018-03-23,The Purge: Election Year,2016,https://letterboxd.com/forrestdiamond/film/the-purge-election-year/,2,,action,2016-08-04
2018-03-23,Independence Day: Resurgence,2016,https://letterboxd.com/forrestdiamond/film/independence-day-resurgence/,2,,"action, sequel",2016-08-05
2018-03-23,Star Wars: The Force Awakens,2015,https://letterboxd.com/forrestdiamond/film/star-wars-the-force-awakens/,3,,"star-wars, science-fiction",2016-08-14
2018-03-23,Green Room,2015,https://letterboxd.com/forrestdiamond/film/green-room/,5,,"horror, thriller",2016-08-16
2018-03-23,High-Rise,2015,https://letterboxd.com/forrestdiamond/film/high-rise-2015/,3,,,2016-08-16
2018-03-23,The Abyss,1989,https://letterboxd.com/forrestdiamond/film/the-abyss/,4,,,2016-08-18
2018-03-23,Triple 9,2016,https://letterboxd.com/forrestdiamond/film/triple-9/,3,,action,2016-08-21
2018-03-23,All the President's Men,1976,https://letterboxd.com/forrestdiamond/film/all-the-presidents-men/,4,,documentary-ish,2016-08-23
2018-03-23,The Parallax View,1974,https://letterboxd.com/forrestdiamond/film/the-parallax-view/,2,,,2016-08-25
2018-03-23,Warcraft,2016,https://letterboxd.com/forrestdiamond/film/warcraft/,2,,"action, fantasy",2016-08-28
2018-03-23,Winter Kills,1979,https://letterboxd.com/forrestdiamond/film/winter-kills/,4,,,2016-08-28
2018-03-23,Source Code,2011,https://letterboxd.com/forrestdiamond/film/source-code/,3,,action,2016-08-29
