Date,Name,Year,Letterboxd URI
2018-03-23,The Pawnbroker,1964,https://letterboxd.com/film/the-pawnbroker/
2018-03-23,In the Heat of the Night,1967,https://letterboxd.com/film/in-the-heat-of-the-night/
2018-03-23,Dirty Harry,1971,https://letterboxd.com/film/dirty-harry/
2018-03-23,Deliverance,1972,https://letterboxd.com/film/deliverance/
2018-03-23,Foxy Brown,1974,https://letterboxd.com/film/foxy-brown/
2018-03-23,Murder on the Orient Express,1974,https://letterboxd.com/film/murder-on-the-orient-express/
2018-03-23,Taxi Driver,1976,https://letterboxd.com/film/taxi-driver/
2018-03-23,Network,1976,https://letterboxd.com/film/network/
2018-03-23,The China Syndrome,1979,https://letterboxd.com/film/the-china-syndrome/
2018-03-23,Southern Comfort,1981,https://letterboxd.com/film/southern-comfort/
2018-03-23,Prince of the City,1981,https://letterboxd.com/film/prince-of-the-city/
2018-03-23,Garbo Talks,1984,https://letterboxd.com/film/garbo-talks/
2018-03-23,Blue Velvet,1986,https://letterboxd.com/film/blue-velvet/
2018-03-23,Matewan,1987,https://letterboxd.com/film/matewan/
2018-03-23,Stalingrad,1993,https://letterboxd.com/film/stalingrad/
2018-03-23,On Deadly Ground,1994,https://letterboxd.com/film/on-deadly-ground/
2018-03-23,Desperado,1995,https://letterboxd.com/film/desperado/
2018-03-23,The Siege,1998,https://letterboxd.com/film/the-siege/
2018-03-23,Brother,2000,https://letterboxd.com/film/brother/
2018-03-23,Into the Sun,2005,https://letterboxd.com/film/into-the-sun/
2018-03-23,The Lives of Others,2006,https://letterboxd.com/film/the-lives-of-others/
2018-03-23,This Is England,2006,https://letterboxd.com/film/this-is-england/
2018-03-23,Before the Devil Knows You're Dead,2007,https://letterboxd.com/film/before-the-devil-knows-youre-dead/
2018-03-23,The Wolfman,2010,https://letterboxd.com/film/the-wolfman/
2018-03-23,Killing Them Softly,2012,https://letterboxd.com/film/killing-them-softly/
2018-03-23,The Way Way Back,2013,https://letterboxd.com/film/the-way-way-back/
2018-03-23,Colossal,2016,https://letterboxd.com/film/colossal-2016/
2018-03-23,The Lego Batman Movie,2017,https://letterboxd.com/film/the-lego-batman-movie/
2018-03-23,I Don't Feel at Home in This World Anymore,2017,https://letterboxd.com/film/i-dont-feel-at-home-in-this-world-anymore/
2018-03-23,The Killing of a Sacred Deer,2017,https://letterboxd.com/film/the-killing-of-a-sacred-deer/
2018-03-23,Call Me by Your Name,2017,https://letterboxd.com/film/call-me-by-your-name/
2018-03-23,Good Time,2017,https://letterboxd.com/film/good-time/
2018-03-23,Dawson City: Frozen Time,2016,https://letterboxd.com/film/dawson-city-frozen-time/
2018-03-23,The Work,2017,https://letterboxd.com/film/the-work/
2018-03-23,Phantom Thread,2017,https://letterboxd.com/film/phantom-thread/
